passport;univ
7170359353;СПбГУ
"7577902761";"УрФУ"
"1288538157";"МГУ"
5284857723;МГУ
4957320873;СПбГУ
7311203942;ВШЭ
2355521841;МГУ
3770932108;УрФУ
8243930424;МГУ
3858433590;КФУ
8118510309;УрФУ
1472171738;НГУ
7777989148;СПбГУ
2057872331;СПбГУ
7635522899;УрФУ
7957497406;КФУ
4005539206;КФУ
4378373387;КФУ
4155058031;НГУ
7929599704;УрФУ
8521229753;МГУ
8014025857;УрФУ
4607016992;ВШЭ
3015240956;СПбГУ
3559689132;КФУ
2262715008;КФУ
9521199434;СПбГУ
4487325925;СПбГУ
1058654980;НГУ
2740187555;ВШЭ
1899277487;НГУ
4686217658;КФУ
7811366528;НГУ
8096101134;КФУ
1923175760;СПбГУ
4611856969;МГУ
6880079084;ВШЭ
5528178635;СПбГУ
1135934456;СПбГУ
5077780705;КФУ
9837817517;НГУ
5093594409;УрФУ
6343231911;ВШЭ
3862832736;УрФУ
9123166360;КФУ
5276011275;НГУ
2051366027;НГУ
2010568349;СПбГУ
4425990849;КФУ
8964138367;КФУ
